,TT
815,59.81666666666667
816,59.88333333333333
817,12.95
818,59.833333333333336
819,59.766666666666666
820,47.63333333333333
821,59.75
822,59.96666666666667
823,59.71666666666667
824,58.78333333333333
825,59.93333333333333
826,59.766666666666666
827,59.766666666666666
828,59.78333333333333
829,59.85
830,59.766666666666666
831,59.8
832,59.96666666666667
833,59.86666666666667
834,9.633333333333333
835,59.95
836,59.93333333333333
837,59.85
838,59.95
839,58.78333333333333
840,18.416666666666668
841,59.78333333333333
842,18.28333333333333
843,59.85
844,59.78333333333333
845,59.833333333333336
846,59.93333333333333
847,59.8
848,59.833333333333336
849,58.61666666666667
850,59.93333333333333
851,59.91666666666666
852,59.93333333333333
853,23.0
854,59.8
855,59.766666666666666
856,59.95
857,59.78333333333333
858,59.96666666666667
859,59.8
860,59.95
861,59.8
862,58.45
863,55.78333333333333
864,59.91666666666666
865,22.816666666666663
866,59.88333333333333
867,59.833333333333336
868,59.93333333333333
869,59.8
870,59.766666666666666
871,59.766666666666666
872,59.85
873,59.81666666666667
874,59.78333333333333
875,43.61666666666667
876,59.88333333333333
877,59.766666666666666
878,59.78333333333333
879,60.0
880,59.95
881,39.36666666666667
882,59.75
883,58.28333333333333
884,57.45
885,59.81666666666667
886,58.583333333333336
887,33.7
888,59.78333333333333
889,16.1
890,59.833333333333336
891,59.9
892,59.78333333333333
893,59.91666666666666
894,59.98333333333333
895,41.0
896,59.95
897,59.7
898,59.766666666666666
899,59.8
900,20.766666666666666
901,59.75
902,25.566666666666663
903,59.88333333333333
904,59.766666666666666
905,59.93333333333333
906,49.63333333333333
907,59.93333333333333
908,59.766666666666666
909,59.88333333333333
910,59.95
911,59.86666666666667
912,58.48333333333333
913,5.766666666666667
914,59.86666666666667
915,59.91666666666666
916,59.78333333333333
917,59.96666666666667
918,59.91666666666666
919,59.766666666666666
920,19.75
921,59.78333333333333
922,59.78333333333333
923,44.66666666666666
924,59.93333333333333
925,59.85
926,59.91666666666666
927,59.766666666666666
928,59.81666666666667
929,20.416666666666668
930,59.766666666666666
931,59.93333333333333
932,59.93333333333333
933,59.95
934,59.95
935,59.95
936,59.8
937,59.78333333333333
938,59.78333333333333
939,59.78333333333333
940,59.766666666666666
941,59.81666666666667
942,59.78333333333333
943,59.95
944,58.78333333333333
945,59.78333333333333
946,43.31666666666667
947,44.016666666666666
948,59.96666666666667
949,26.883333333333333
950,59.88333333333333
951,59.73333333333333
952,59.95
953,35.36666666666667
954,59.85
955,59.95
956,59.75
957,59.88333333333333
958,52.98333333333333
959,59.8
960,40.21666666666667
961,59.95
962,59.9
963,59.93333333333333
964,59.86666666666667
965,59.93333333333333
966,59.95
967,59.78333333333333
968,59.8
969,54.96666666666667
970,59.93333333333333
971,59.93333333333333
972,37.516666666666666
973,34.2
974,59.91666666666666
975,59.75
